			LINES				BYTES
item/shop.txt		10000	2	2		10000	0	0
item/shop_buy.txt		3413	57	167		3210	2234	6958
item/shop_talk.txt		4702	79	168		4643	3200	6892
item/shop_sel.txt		322	1	31		0	0	1438
item/shop_1st.txt		10000	109	109		10000	5168	5168
item/shop_out.txt		10000	10	10		10000	354	354
item/shop_in.txt		3174	20	63		2961	882	2978
item/shop_h.txt		0	0	343		0	0	16748
item/item.txt		10000	30	30		10000	1445	1445
day/karin/kari1.txt		0	0	28		0	0	1350
day/karin/kari2.txt		0	0	63		0	0	3076
day/karin/kari3-1.txt		0	0	43		0	0	1900
day/karin/kari3-2.txt		0	0	59		0	0	2586
day/karin/kari3-3.txt		0	0	98		0	0	4256
day/karin/kari3-4.txt		0	0	277		0	0	15192
day/karin/kari3-6.txt		0	0	198		0	0	11082
day/karin/kari5.txt		0	0	127		0	0	6218
day/karin/kari6.txt		0	0	114		0	0	5226
day/karin/kari7.txt		12	1	781		0	0	40154
day/karin/kari8.txt		0	0	267		0	0	12136
day/karin/kari9.txt		224	4	178		0	0	8778
day/karin/kari10.txt		0	0	58		0	0	2894
day/karin/kari11.txt		0	0	94		0	0	4092
day/karin/kari12.txt		0	0	458		0	0	21432
day/karin/karin-e03.txt		0	0	83		0	0	3394
day/karin/kari-dateflg.txt		0	0	124		0	0	6376
day/karin/kari_date-1.txt		0	0	334		0	0	15456
day/karin/kari_date-2(h).txt		0	0	327		0	0	20848
day/karin/kari_date-3.txt		0	0	17		0	0	758
day/ichigo/iti1.txt		0	0	313		0	0	14202
day/ichigo/iti2.txt		0	0	84		0	0	3216
day/ichigo/iti3.txt		0	0	48		0	0	2292
day/ichigo/iti4.txt		0	0	149		0	0	7364
day/ichigo/iti5.txt		0	0	61		0	0	3262
day/ichigo/iti6.txt		277	1	36		0	0	1310
day/ichigo/iti6a.txt		0	0	14		0	0	646
day/ichigo/iti7.txt		384	1	26		0	0	1048
day/ichigo/iti7a.txt		0	0	22		0	0	994
day/ichigo/iti7b.txt		0	0	41		0	0	1686
day/ichigo/iti8.txt		476	1	21		0	0	774
day/ichigo/iti8a.txt		0	0	44		0	0	2014
day/ichigo/iti8b.txt		0	0	60		0	0	2644
day/ichigo/iti8c.txt		0	0	39		0	0	1534
day/ichigo/iti9.txt		96	6	619		0	0	26432
day/ichigo/iti9b(badend).txt		0	0	109		0	0	4572
day/ichigo/iti00a.txt		0	0	36		0	0	1510
day/ichigo/iti00b.txt		0	0	38		0	0	1604
day/ichigo/iti00c.txt		0	0	23		0	0	926
day/ichigo/iti00flg.txt		116	1	86		0	0	3742
day/ichigoBAD2.txt		0	0	524		0	0	31010
day/ichigoH1.txt		60	1	164		0	0	7658
day/ichigoH2.txt		0	0	238		0	0	15510
day/mikan/mika1.txt		0	0	30		0	0	1702
day/mikan/mika2.txt		0	0	59		0	0	2854
day/mikan/mika3.txt		0	0	57		0	0	2760
day/mikan/mika4.txt		0	0	25		0	0	1016
day/mikan/mika5.txt		0	0	76		0	0	3488
day/mikan/mika6.txt		0	0	54		0	0	2914
day/mikan/mika7.txt		0	0	34		0	0	1322
day/mikan/mika8.txt		0	0	88		0	0	3930
day/mikan/mika9.txt		0	0	105		0	0	4430
day/mikan/mika10.txt		0	0	30		0	0	1306
day/mikan/mika11.txt		0	0	74		0	0	3930
day/mikan/mika12.txt		0	0	109		0	0	5344
day/mikan/mika13.txt		52	1	190		0	0	8862
day/mikan/mika14.txt		0	0	66		0	0	3024
day/mikan/mika15.txt		0	0	56		0	0	2880
day/mikan/mika16.txt		0	0	17		0	0	860
day/mikan/mika17.txt		0	0	34		0	0	1138
day/mikan/mika18.txt		0	0	21		0	0	734
day/mikan/mika19.txt		0	0	19		0	0	614
day/mikan/mika20.txt		0	0	25		0	0	1170
day/mikan/mika21.txt		0	0	33		0	0	1236
day/mikan/mika22.txt		0	0	40		0	0	1938
day/mikan/mika23.txt		0	0	307		0	0	14172
day/mikan/mika23a.txt		0	0	11		0	0	616
day/mikan/mika24.txt		0	0	922		0	0	41180
day/mikan/mika(BAD1).txt		0	0	57		0	0	2380
day/mikan/mika(date).txt		0	0	226		0	0	10316
day/mikan/mika(dateflg).txt		0	0	109		0	0	4726
day/mikan/mikanBAD.txt		0	0	296		0	0	18544
day/hikari/hika01.txt		10000	26	26		10000	1136	1136
day/hikari/hika02.txt		4231	135	319		4165	5740	13781
day/hikari/hika03.txt		9127	272	298		9765	12770	13076
day/hikari/hika04.txt		9436	67	71		9773	2930	2998
day/hikari/hika05.txt		9800	49	50		9912	2278	2298
day/hikari/hika06.txt		0	0	62		0	0	2726
day/hikari/hika07.txt		0	0	93		0	0	3986
day/hikari/hika08.txt		0	0	64		0	0	2990
day/hikari/hika09.txt		0	0	134		0	0	5908
day/hikari/hika10.txt		0	0	121		0	0	5566
day/hikari/hika11.txt		0	0	83		0	0	4064
day/hikari/hika12.txt		0	0	105		0	0	4562
day/hikari/hika13.txt		0	0	212		0	0	9976
day/hikari/hika14.txt		0	0	105		0	0	4956
day/hikari/hika20.txt		0	0	60		0	0	2647
day/hikari/hika21.txt		0	0	190		0	0	7584
day/hikari/hika22.txt		0	0	76		0	0	3610
day/hikari/hika23.txt		0	0	103		0	0	4170
day/hikari/hika24.txt		0	0	113		0	0	5218
day/hikari/hika25.txt		0	0	58		0	0	2456
day/hikari/hika26.txt		0	0	121		0	0	5224
day/hikari/hika27.txt		0	0	121		0	0	5058
day/hikari/hika27-1.txt		0	0	210		0	0	9536
day/hikari/hika27-3.txt		0	0	118		0	0	5528
day/hikari/hika28.txt		0	0	71		0	0	2800
day/hikari/hika29.txt		0	0	28		0	0	1142
day/hikari/hika29-a.txt		0	0	121		0	0	4790
day/hikari/hika30-1.txt		0	0	103		0	0	5080
day/hikari/hika30-2(h).txt		0	0	316		0	0	18098
day/hikari/hika30-3(h).txt		0	0	184		0	0	11334
day/hikari/hika30-4(h).txt		0	0	245		0	0	15462
day/hikari/hika30-5.txt		0	0	144		0	0	6448
day/hikari/hika31.txt		0	0	111		0	0	5064
day/hikari/hika33.txt		0	0	167		0	0	6828
day/hikari/hika34.txt		0	0	270		0	0	11276
day/hikari/hika35.txt		0	0	401		0	0	17882
day/hikari/hika36.txt		0	0	1274		0	0	58540
day/hikari/hika37.txt		0	0	235		0	0	11458
day/hikari/hika38.txt		0	0	199		0	0	9426
day/hikari/hika39.txt		0	0	127		0	0	6283
day/hikari/hika40.txt		0	0	469		0	0	23642
day/hikari/hika41.txt		31	1	319		6	10	14856
day/hikariE1.txt		0	0	36		0	0	1450
day/hikariE2.txt		0	0	42		0	0	1848
day/hikariE3.txt		0	0	47		0	0	1894
day/hikariE4.txt		0	0	93		0	0	3548
day/hikariE5.txt		0	0	113		0	0	4980
day/hikariE6.txt		0	0	128		0	0	6142
day/yuzu1.txt		0	0	433		0	0	20942
day/yuzu2.txt		0	0	68		0	0	3140
day/yuzu3.txt		0	0	53		0	0	1970
day/yuzu4.txt		0	0	37		0	0	1764
day/yuzu5.txt		60	1	165		0	0	8146
day/yuzu6.txt		0	0	106		0	0	4702
day/yuzu7.txt		0	0	51		0	0	2042
day/yuzu8.txt		0	0	69		0	0	3658
day/yuzu9.txt		30	1	324		0	0	16014
day/yuzu10.txt		0	0	58		0	0	2240
day/yuzu11.txt		0	0	65		0	0	3070
day/yuzu12.txt		13	1	745		0	0	34556
day/suika1.txt		10000	60	60		10000	2854	2854
day/suika2.txt		10000	89	89		10000	4850	4850
day/suika3.txt		10000	53	53		10000	2770	2770
day/suika4.txt		10000	33	33		10000	1652	1652
day/suika5.txt		10000	42	42		10000	2152	2152
day/suika6.txt		9919	123	124		9845	5106	5186
day/suika7.txt		8531	273	320		8939	14268	15960
day/suika8.txt		9591	141	147		9546	6068	6356
day/suika9.txt		9514	98	103		9545	3952	4140
day/suika10.txt		9545	84	88		9253	3423	3699
day/suika11.txt		9308	431	463		9670	21260	21984
day/suika_game_check.txt		10000	0	0		10000	0	0
day/game_seal_(suika).txt		0	0	17		0	0	800
day/miu1.txt		9855	68	69		9943	2806	2822
day/miu2.txt		8990	98	109		9744	4578	4698
day/miu3.txt		9113	72	79		9758	3642	3732
day/seiji1.txt		10000	94	94		10000	4608	4608
day/seiji2.txt		9245	98	106		9678	5306	5482
day/seiji3.txt		9931	144	145		9941	7188	7230
day/seiji4.txt		10000	115	115		10000	5240	5240
day/seiji5.txt		0	0	107		0	0	4924
day/seiji6.txt		20	1	496		0	0	39648
day/fathers_day.txt		0	0	40		0	0	1878
day/mothers_day.txt		9750	39	40		9937	1920	1932
day/radio_exercise.txt		0	0	47		0	0	1874
day/homework_(ichigo).txt		0	0	44		0	0	1948
day/school_day1.txt		10000	35	35		10000	1640	1640
day/school_day2.txt		0	0	40		0	0	1616
day/school_day3.txt		0	0	25		0	0	960
day/closing_ceremony1.txt		10000	68	68		10000	3120	3120
day/closing_ceremony2.txt		0	0	75		0	0	2860
day/new_school_term1.txt		9655	56	58		9756	2964	3038
day/new_school_term2.txt		9230	60	65		9707	2718	2800
day/pool_everyone_(ichigo).txt		0	0	142		0	0	9498
day/pool_everyone_(hiraki).txt		0	0	152		0	0	7466
day/summer_festival.txt		0	0	275		0	0	13620
day/drink.txt		10000	124	124		10000	5282	5282
day/erocute.txt		10000	0	0		10000	0	0
day/golden_week1.txt		0	0	201		0	0	9476
day/golden_week2.txt		0	0	120		0	0	6628
day/tanabata.txt		68	3	436		0	0	18002
day/king_game.txt		22	1	444		0	0	19918
day/pool_everyone.txt		62	4	635		0	0	30414
day/0121_mikan_virginity_lose_day_after.txt		7796	46	59		8384	2024	2414
day/0204_karin1.txt		9289	157	169		9796	7798	7960
day/0210_karin2.txt		10000	42	42		10000	2334	2334
day/0225_ichigo1.txt		9549	318	333		9640	19922	20664
day/0302_shizuku_kidnap.txt		9124	198	217		8933	12014	13448
day/0303_shizuku_kidnap_day_after.txt		10000	59	59		10000	2726	2726
day/0325_shizuku_return.txt		9388	629	670		9376	41372	44124
day/zakuro1.txt		9677	120	124		9731	4486	4610
day/zakuro2.txt		9487	37	39		9884	2045	2069
day/zakuro3.txt		10000	90	90		10000	3713	3713
day/zakuro4.txt		8725	575	659		8676	35609	41041
day/zakuro5.txt		9316	150	161		8994	5600	6226
day/zakuro6.txt		0	0	310		0	0	13518
day/zakuro7.txt		9890	90	91		9961	3610	3624
day/zakuro8.txt		9941	169	170		9940	8308	8358
day/zakuro9.txt		0	0	96		0	0	5017
day/zakuro10.txt		0	0	225		0	0	11520
day/zakuro11.txt		0	0	172		0	0	10074
day/zakuro12.txt		0	0	145		0	0	7220
day/zakuro13.txt		0	0	287		0	0	19492
day/zakuro14.txt		0	0	713		0	0	44486
day/zakuro15.txt		0	0	166		0	0	10199
day/zakuro16.txt		0	0	92		0	0	4130
day/zakuro17.txt		32	3	931		0	0	63338
day/zakuro18.txt		0	0	158		0	0	7888
day/zakuro19.txt		0	0	334		0	0	13882
day/zakuro20.txt		0	0	244		0	0	18730
day/zakuro21.txt		0	0	124		0	0	6232
trpg/youzyo-trpg1.txt		0	0	279		0	0	12550
trpg/youzyo-trpg2.txt		30	1	327		0	0	14732
trpg/youzyo-trpg3.txt		0	0	31		0	0	1422
trpg/youzyo-trpg3a.txt		0	0	314		0	0	19096
trpg/youzyo-trpg3b.txt		0	0	794		0	0	50832
trpg/youzyo-trpg5.txt		0	0	284		0	0	19016
trpg/youzyo-TRPG(die).txt		0	0	29		0	0	1696
training/item_ichigo_bandage.txt		23	1	419		0	0	25536
training/karin_service_bunnygirl1.txt		0	0	198		0	0	11502
training/karin_service_bunnygirl2.txt		0	0	166		0	0	10746
training/karin_service_bunnygirl3.txt		0	0	232		0	0	14314
training/ichigo_service_bloomers1.txt		0	0	246		0	0	16470
training/ichigo_service_bloomers2.txt		0	0	253		0	0	15805
training/ichigo_service_bloomers3.txt		0	0	289		0	0	16664
training/training_ichigo_03.txt		238	1	42		0	0	1996
training/training_ichigo_vibe.txt		0	0	245		0	0	13422
training/training_ichigo_anal.txt		0	0	467		0	0	26348
training/training_ichigo_anal_vibe.txt		0	0	213		0	0	12618
training/training_mikan_02.txt		3333	1	3		0	0	62
training/training_mikan_vibe.txt		0	0	252		0	0	18586
training/training_mikan_anal.txt		2888	65	225		3296	5466	16582
training/training_mikan_anal_beads.txt		0	0	173		0	0	12382
training/training_karin_02.txt		769	1	13		0	0	622
training/training_karin_vibe.txt		0	0	113		0	0	8776
training/training_karin_anal_insert.txt		54	1	182		60	82	13653
training/training_karin_anal_vibe.txt		0	0	85		0	0	5916
training/training_in.txt		9336	183	196		9671	7778	8042
training/training_mikan.txt		10000	0	0		10000	0	0
training/training_mikan_01.txt		8728	398	456		8905	25734	28898
training/training_mikan_insert.txt		5186	153	295		5024	11348	22587
training/training_mikan_candle.txt		0	0	47		0	0	3648
training/training_mikan_whip.txt		0	0	61		0	0	4316
training/training_mikan_school_swimsuit.txt		27	1	366		0	0	24784
training/training_mikan_fellatio.txt		6315	425	673		6121	29066	47483
training/training_mikan_anal_expansion.txt		34	1	290		14	32	22378
training/training_ichigo.txt		10000	0	0		10000	0	0
training/training_ichigo_01.txt		9806	254	259		9872	17330	17554
training/training_ichigo_02.txt		9220	142	154		9188	8450	9196
training/training_ichigo_fellatio1.txt		0	0	337		0	0	22621
training/training_ichigo_fellatio2.txt		0	0	295		0	0	19368
training/training_ichigo_fellatio3.txt		0	0	265		0	0	17010
training/training_ichigo_fellatio4.txt		0	0	263		0	0	17472
training/training_ichigo_insert.txt		17	1	578		21	72	34152
training/training_karin.txt		10000	0	0		10000	0	0
training/training_karin_01.txt		9351	577	617		9479	31138	32846
training/training_karin_nose_hook.txt		0	0	112		0	0	5310
training/training_karin_bukkake.txt		9703	131	135		9909	6108	6164
training/training_karin_hairjob.txt		0	0	108		0	0	5532
training/training_karin_fellatio.txt		1616	96	594		1369	4554	33264
training/training_karin_facemask1.txt		0	0	163		0	0	10094
training/training_karin_facemask2.txt		0	0	155		0	0	9762
training/training_karin_facemask3.txt		0	0	246		0	0	16990
training/training_karin_insert.txt		2610	71	272		2550	4956	19430
training/training_karin_video1.txt		41	1	239		0	0	15022
training/training_karin_video2.txt		0	0	249		0	0	15824
training/training_karin_video3.txt		0	0	258		0	0	17074
schedule/setsumei.txt		9178	190	207		9382	10208	10880
schedule/work_mikan.txt		10000	0	0		10000	0	0
status/hensai.txt		4731	44	93		4443	1654	3722
ending/end_taiken.txt		0	0	19		0	0	740
ending/end_taiken2.txt		10000	0	0		10000	0	0
ending/ending.txt		10000	0	0		10000	0	0
ending/suikaED.txt		9047	19	21		9115	1134	1244
ending/zakuroED.txt		0	0	33		0	0	2762
ending/karinED.txt		0	0	200		0	0	9380
ending/ichigoED.txt		9882	503	509		9915	26584	26810
ending/mikanED.txt		0	0	153		0	0	6992
ending/hikariED.txt		0	0	44		0	0	1888
ending/yuzuED.txt		0	0	22		0	0	1206
ending/end_musume.txt		0	0	232		0	0	15986
ending/epilogue.txt		10000	0	0		10000	0	0
